,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,CHN CHN,ZHANG Nan ZHAO Yunlei,0,261 - 35,"$1,098,387.50","99,735 / 14"
1,2,INA INA,Tontowi AHMAD Liliyana NATSIR,0,221 - 60,"$765,219.99","80,512 / 17"
2,3,CHN CHN,LIU Cheng BAO Yixin,0,80 - 34,"$210,833.72","77,200 / 16"
3,4,KOR KOR,KO Sung Hyun KIM Ha Na,0,100 - 43,"$329,572.49","75,460 / 18"
4,5,DEN DEN,Joachim FISCHER NIELSEN Christinna PEDERSEN,0,239 - 74,"$697,027.73","73,764 / 14"
5,6,CHN CHN,XU Chen MA Jin,0,197 - 52,"$810,680.60","73,741 / 15"
6,7,ENG ENG,Chris ADCOCK Gabrielle ADCOCK,0,150 - 90,"$276,591.01","67,574 / 18"
7,8,INA INA,Praveen JORDAN Debby SUSANTO,0,73 - 39,"$167,370.59","66,382 / 24"
8,9,CHN CHN,LU Kai HUANG Yaqiong,0,69 - 29,"$135,143.73","59,290 / 17"
9,10,HKG HKG,LEE Chun Hei Reginald CHAU Hoi Wah,0,91 - 53,"$162,320.84","58,865 / 23"
10,11,KOR KOR,SHIN Baek Cheol CHAE Yoo Jung,0,30 - 13,"$96,043.74","51,420 / 13"
11,12,KOR KOR,SolGyu CHOI EOM Hye Won,0,30 - 15,"$106,338.74","47,150 / 17"
12,13,MAS MAS,Peng Soon CHAN Liu Ying GOH,0,163 - 97,"$197,965.61","45,260 / 21"
13,14,NED NED,Jacco ARENDS Selena PIEK,0,95 - 63,"$39,391.99","44,395 / 22"
14,15,INA INA,Edi SUBAKTIAR Gloria Emanuelle WIDJAJA,0,55 - 35,"$48,101.60","43,580 / 18"
15,16,GER GER,Michael FUCHS Birgit MICHELS,0,160 - 94,"$162,251.76","43,448 / 24"
16,17,POL POL,Robert MATEUSIAK Nadiezda ZIEBA,0,240 - 92,"$185,323.75","41,650 / 12"
17,18,INA INA,Ronald ALEXANDER Melati Daeva OKTAVIANI,0,49 - 25,"$22,671.10","40,170 / 18"
18,19,HKG HKG,CHAN Alan Yun Lung TSE Ying Suet,0,58 - 53,"$47,569.74","39,347 / 22"
19,20,JPN JPN,Kenichi HAYAKAWA Misaki MATSUTOMO,0,58 - 69,"$44,433.82","38,280 / 13"
20,21,INA INA,Riky WIDIANTO Puspita Richi DILI,0,83 - 55,"$101,621.08","38,010 / 16"
21,22,RUS RUS,Vitalij DURKIN Nina VISLOVA,0,172 - 79,"$73,197.72","36,950 / 21"
22,23,JPN JPN,Kenta KAZUNO Ayane KURIHARA,0,28 - 16,"$16,294.36","36,500 / 16"
23,24,USA USA,Phillip CHEW Jamie SUBANDHI,0,75 - 67,"$19,373.64","36,368 / 28"
24,25,FRA FRA,Ronan LABAR Emilie LEFEL,0,76 - 48,"$18,393.99","36,158 / 26"
25,26,JPN JPN,Keigo SONODA Naoko FUKUMAN,0,14 - 12,"$15,131.23","35,930 / 12"
26,27,SIN SIN,Danny Bawa CHRISNANTA Yu Yan Vanessa NEO,0,130 - 108,"$71,518.62","35,854 / 20"
27,28,KOR KOR,KIM Gi Jung SHIN Seung Chan,0,14 - 17,"$42,884.36","35,850 / 17"
28,29,THA THA,Sudket PRAPAKAMOL Saralee THOUNGTHONGKAM,0,294 - 179,"$335,597.45","33,510 / 14"
29,30,DEN DEN,Mads Pieler KOLDING Kamilla RYTTER JUHL,0,49 - 30,"$155,575.62","33,260 / 6"
30,31,DEN DEN,Niclas NOHR Sara THYGESEN,0,54 - 28,"$18,539.25","33,110 / 13"
31,32,AUS AUS,Robin MIDDLETON Leanne CHOO,0,32 - 17,"$11,723.49","33,061 / 17"
32,33,CAN CAN,Toby NG Alex BRUCE,0,62 - 35,"$19,557.44","32,874 / 17"
33,34,IRL IRL,Sam MAGEE Chloe MAGEE,0,115 - 85,"$22,109.48","32,670 / 16"
34,35,RUS RUS,Evgenij DREMIN Evgenia DIMOVA,0,59 - 43,"$21,322.99","32,128 / 17"
35,36,CHN CHN,HUANG Kaixiang HUANG Dongping,0,24 - 8,"$29,128.12","32,070 / 8"
36,37,INA INA,Markis KIDO Pia Zebadiah BERNADETH,0,68 - 55,"$105,205.35","31,990 / 14"
37,38,FRA FRA,Gaetan MITTELHEISSER Audrey FONTAINE,0,55 - 44,"$8,662.00","31,310 / 21"
38,39,NED NED,Jorrit DE RUITER Samantha BARNING,0,67 - 48,"$24,159.41","31,107 / 12"
39,40,TPE TPE,LIAO Min Chun CHEN Hsiao Huan,0,51 - 61,"$17,509.98","29,730 / 16"
40,41,INA INA,Andrei ADISTIA Vita MARISSA,0,13 - 10,"$165,500.00","29,590 / 10"
41,42,INA INA,Fran KURNIAWAN Komala DEWI,0,30 - 13,"$52,784.73","28,190 / 13"
42,43,IND IND,Arun VISHNU Aparna BALAN,0,61 - 55,"$16,719.24","26,520 / 10"
43,44,MAS MAS,Aik Quan TAN Pei Jing LAI,0,62 - 55,"$33,229.57","26,140 / 10"
44,45,INA INA,HAFIZ Faisal Shella Devi Aulia,0,33 - 18,"$6,491.24","25,580 / 11"
45,46,KOR KOR,LEE Yong Dae LEE So Hee,0,12 - 9,"$152,963.97","24,880 / 8"
46,47,THA THA,Bodin ISSARA Savitree AMITRAPAI,0,25 - 6,"$25,114.83","24,810 / 8"
47,48,DEN DEN,Mathias CHRISTIANSEN Lena GREBAK,0,28 - 12,"$13,784.24","24,570 / 9"
48,49,IND IND,KONA Tarun NELAKURIHI Sikki Reddy,0,21 - 17,"$11,997.46","24,530 / 16"
49,50,SIN SIN,Yong Kai Terry HEE Wei Han TAN,0,31 - 12,"$5,653.11","24,079 / 9"
50,51,AUT AUT,David OBERNOSTERER Elisabeth BALDAUF,0,37 - 19,"$4,858.85","23,790 / 15"
51,52,MAS MAS,WONG Fai Yin Mei Kuan CHOW,0,24 - 27,"$6,614.98","23,670 / 12"
52,53,KOR KOR,YOO Yeon Seong CHANG Ye Na,0,58 - 39,"$128,726.86","23,600 / 8"
53,54,INA INA,Irfan FADHILAH Weni ANGGRAINI,0,73 - 53,"$37,587.48","23,460 / 11"
54,55,BRA BRA,Alex Yuwan TJONG Lohaynny VICENTE,0,46 - 22,"$3,993.04","23,336 / 10"
55,56,SWE SWE,Nico RUPONEN Amanda HOGSTROM,0,45 - 45,"$8,031.75","22,790 / 15"
56,57,SWE SWE,Jonatan NORDH Emelie FABBEKE,0,38 - 42,"$4,677.38","22,634 / 13"
57,58,FRA FRA,Bastian KERSAUDY Lea PALERMO,0,33 - 27,"$1,271.86","22,580 / 17"
58,59,TPE TPE,LIN Chia Yu WU Ti Jung,0,16 - 17,"$6,269.85","22,280 / 15"
59,60,AUS AUS,Matthew CHAU Gronya SOMERVILLE,0,15 - 11,"$2,182.38","21,930 / 11"
60,61,EGY EGY,Abdelrahman KASHKAL Hadia HOSNY,0,51 - 46,"$3,540.60","21,920 / 19"
61,62,KOR KOR,SolGyu CHOI CHAE Yoo Jung,0,33 - 14,"$61,926.24","21,860 / 6"
62,63,GER GER,Mark LAMSFUSS Isabel HERTTRICH,0,14 - 10,"$12,421.99","21,400 / 10"
63,64,TPE TPE,Ko-Chi CHANG Hsin Tien CHANG,0,15 - 18,"$3,571.86","21,080 / 13"
64,65,SIN SIN,Chayut TRIYACHART Shinta Mulia SARI,0,22 - 20,"$21,810.67","20,628 / 6"
65,66,RUS RUS,Rodion KARGAEV Ekaterina BOLOTOVA,0,27 - 24,"$1,627.49","20,520 / 10"
66,67,GER GER,Marvin Emil SEIDEL Linda EFLER,0,28 - 19,"$2,001.00","20,250 / 14"
67,68,CHN CHN,ZHENG Siwei CHEN Qingchen,0,28 - 4,"$47,291.24","20,140 / 5"
68,69,AUS AUS,Sawan SERASINGHE Setyana MAPASA,0,30 - 10,"$2,470.00","19,210 / 9"
69,70,INA INA,Alfian Eko PRASETYA Annisa SAUFIKA,0,36 - 17,"$28,173.07","18,860 / 8"
70,71,TPE TPE,Hsiao-Lin WU HSIEH Pei Chen,0,15 - 15,"$4,193.11","18,620 / 14"
71,72,PER PER,Mario CUBA Katherine WINDER,0,72 - 28,"$5,398.70","18,400 / 8"
72,73,ENG ENG,Matthew NOTTINGHAM Emily WESTWOOD,0,30 - 19,"$4,501.50","18,140 / 9"
73,74,DEN DEN,Kasper ANTONSEN Amanda MADSEN,0,33 - 17,"$4,000.00","17,980 / 10"
74,75,THA THA,Nipitphon PUANGPUAPECH Puttita SUPAJIRAKUL,0,16 - 23,"$13,038.72","17,098 / 6"
75,76,ENG ENG,Gregory MAIRS Jenny MOORE,0,22 - 18,"$1,638.00","16,590 / 9"
