,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,KOR KOR,LEE Yong Dae YOO Yeon Seong,0,126 - 20,"$1,182,925.61","94,130 / 17"
1,2,INA INA,Hendra SETIAWAN Mohammad AHSAN,0,128 - 36,"$688,920.62","81,967 / 17"
2,3,CHN CHN,FU Haifeng ZHANG Nan,0,64 - 20,"$513,895.62","74,647 / 14"
3,4,DEN DEN,Mathias BOE Carsten MOGENSEN,0,339 - 110,"$764,887.10","73,440 / 13"
4,5,CHN CHN,CHAI Biao HONG Wei,0,83 - 33,"$375,652.49","71,775 / 18"
5,6,JPN JPN,Hiroyuki ENDO Kenichi HAYAKAWA,0,191 - 106,"$266,714.09","65,927 / 18"
6,7,KOR KOR,KIM Gi Jung KIM Sa Rang,0,147 - 63,"$290,632.22","64,419 / 21"
7,8,DEN DEN,Mads CONRAD-PETERSEN Mads Pieler KOLDING,0,108 - 49,"$122,872.39","63,207 / 19"
8,9,KOR KOR,KO Sung Hyun SHIN Baek Cheol,0,62 - 30,"$428,317.71","57,100 / 14"
9,10,INA INA,Angga PRATAMA Ricky Karanda SUWARDI,0,36 - 19,"$114,729.33","54,550 / 17"
10,11,CHN CHN,LIU Xiaolong QIU Zihan,1,125 - 84,"$192,611.23","54,050 / 16"
11,12,CHN CHN,LI Junhui LIU Yuchen,1,67 - 26,"$78,060.00","52,870 / 14"
12,13,RUS RUS,Vladimir IVANOV Ivan SOZONOV,-2,186 - 87,"$114,983.48","52,408 / 22"
13,14,INA INA,Gideon Markus FERNALDI Kevin Sanjaya SUKAMULJO,0,28 - 15,"$79,086.09","51,360 / 18"
14,15,TPE TPE,LEE Sheng Mu TSAI Chia Hsin,0,82 - 54,"$232,604.37","51,351 / 18"
15,16,MAS MAS,V Shem GOH Wee Kiong TAN,0,61 - 24,"$151,998.07","51,248 / 22"
16,17,MAS MAS,Kien Keat KOO Boon Heong TAN,0,292 - 102,"$481,845.61","47,400 / 16"
17,18,JPN JPN,Takeshi KAMURA Keigo SONODA,2,86 - 56,"$62,433.97","44,920 / 20"
18,19,JPN JPN,Hirokatsu HASHIMOTO Noriyasu HIRATA,0,155 - 119,"$133,853.07","44,371 / 21"
19,20,IND IND,Manu ATTRI B. Sumeeth Reddy,-2,72 - 53,"$30,740.10","44,070 / 24"
20,21,INA INA,Wahyu Nayaka ARYA PANKARYANIRA Ade YUSUF,0,65 - 43,"$43,084.98","42,980 / 16"
21,22,CHN CHN,WANG YILYU ZHANG Wen,0,40 - 19,"$52,138.74","42,150 / 14"
22,23,TPE TPE,CHEN Hung Ling Chi-Lin WANG,0,38 - 27,"$66,209.47","41,400 / 21"
23,24,DEN DEN,Kim ASTRUP Anders Skaarup RASMUSSEN,0,85 - 56,"$46,941.73","40,886 / 20"
24,25,ENG ENG,Marcus ELLIS Chris LANGRIDGE,0,31 - 19,"$41,770.95","39,666 / 18"
25,26,JPN JPN,Kenta KAZUNO Kazushi YAMADA,0,49 - 20,"$52,260.73","37,870 / 13"
26,27,INA INA,Berry ANGRIAWAN Ryan Agung SAPUTRA,0,28 - 12,"$79,923.71","37,590 / 14"
27,28,POL POL,Adam CWALINA Przemyslaw WACHA,0,149 - 52,"$66,044.85","36,716 / 26"
28,29,CHN CHN,CAI Yun LU Kai,0,24 - 18,"$363,823.12","36,320 / 10"
29,30,GER GER,Michael FUCHS Johannes SCHOETTLER,0,57 - 43,"$71,819.12","36,246 / 20"
30,31,MAS MAS,Thien How HOON Khim Wah LIM,1,20 - 15,"$116,034.87","34,250 / 14"
31,32,THA THA,Bodin ISSARA Nipitphon PUANGPUAPECH,1,33 - 14,"$68,615.96","34,200 / 19"
32,33,THA THA,Puavaranukroh DECHAPOL Kedren KITTINUPONG,-2,35 - 33,"$8,847.46","33,570 / 15"
33,34,IND IND,Pranaav Jerry CHOPRA Akshay DEWALKAR,2,66 - 64,"$27,926.69","33,186 / 16"
34,35,ENG ENG,Andrew ELLIS Peter MILLS,-1,29 - 25,"$51,383.17","33,075 / 20"
35,36,INA INA,Andrei ADISTIA Hendra Aprida GUNAWAN,-1,34 - 23,"$112,324.61","33,040 / 13"
36,37,USA USA,Sattawat PONGNAIRAT Phillip CHEW,0,59 - 85,"$9,892.39","31,727 / 28"
37,38,TPE TPE,Jhe-Huei LEE Yang LEE,0,21 - 11,"$5,714.99","31,280 / 12"
38,39,TPE TPE,LIAO Min Chun TSENG Min Hao,0,32 - 27,"$21,759.97","30,330 / 14"
39,40,TPE TPE,LIN Chia Yu Hsiao-Lin WU,0,46 - 32,"$12,946.85","29,820 / 21"
40,41,DEN DEN,Mathias CHRISTIANSEN David DAUGAARD,0,51 - 27,"$13,374.00","29,500 / 15"
41,42,INA INA,Markis KIDO Agripinna Prima Rahmanto PUTRA,0,20 - 11,"$227,761.22","29,170 / 10"
42,43,CAN CAN,Adrian LIU Derrick NG,0,131 - 69,"$17,806.23","27,882 / 17"
43,44,FRA FRA,Baptiste CAREME Ronan LABAR,0,73 - 57,"$16,826.62","27,868 / 22"
44,45,MEX MEX,Job CASTILLO Lino MUNOZ,0,33 - 9,"$3,754.32","27,780 / 14"
45,46,JPN JPN,Takuto INOUE Yuki KANEKO,0,45 - 28,"$11,014.98","27,750 / 10"
46,47,ENG ENG,Peter BRIGGS Tom WOLFENDEN,0,35 - 18,"$6,511.49","26,940 / 15"
47,48,GER GER,Max SCHWENGER Josche ZURWONNE,0,30 - 18,"$18,471.98","26,201 / 9"
48,49,INA INA,Fajar ALFIAN Muhammad Rian ARDIANTO,0,31 - 14,"$10,695.38","25,940 / 13"
