,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,KOR KOR,LEE Yong Dae YOO Yeon Seong,0,82 - 14,"$989,580.61","92,680 / 13"
1,2,DEN DEN,Mathias BOE Carsten MOGENSEN,0,324 - 105,"$704,307.12","73,830 / 10"
2,3,CHN CHN,CHAI Biao HONG Wei,0,62 - 22,"$292,629.99","69,485 / 14"
3,4,INA INA,Hendra SETIAWAN Mohammad AHSAN,0,94 - 25,"$583,894.38","67,637 / 11"
4,5,JPN JPN,Hiroyuki ENDO Kenichi HAYAKAWA,0,167 - 86,"$244,282.85","64,957 / 15"
5,6,CHN CHN,FU Haifeng ZHANG Nan,0,41 - 15,"$483,951.88","63,297 / 11"
6,7,TPE TPE,LEE Sheng Mu TSAI Chia Hsin,0,76 - 41,"$223,901.87","61,241 / 15"
7,8,KOR KOR,KO Sung Hyun SHIN Baek Cheol,0,44 - 21,"$393,415.23","60,490 / 9"
8,9,CHN CHN,LIU Xiaolong QIU Zihan,0,115 - 78,"$185,273.73","59,420 / 13"
9,10,DEN DEN,Mads CONRAD-PETERSEN Mads Pieler KOLDING,0,102 - 41,"$98,791.15","56,467 / 16"
10,11,RUS RUS,Vladimir IVANOV Ivan SOZONOV,0,162 - 73,"$99,359.74","46,288 / 17"
11,12,KOR KOR,KIM Gi Jung KIM Sa Rang,0,119 - 54,"$188,003.48","46,009 / 10"
12,13,INA INA,Angga PRATAMA Ricky Karanda SUWARDI,0,20 - 9,"$99,623.09","43,090 / 10"
13,14,JPN JPN,Kenta KAZUNO Kazushi YAMADA,5,43 - 12,"$48,596.99","42,810 / 12"
14,15,DEN DEN,Kim ASTRUP Anders Skaarup RASMUSSEN,-1,80 - 48,"$40,355.75","42,436 / 18"
15,16,JPN JPN,Hirokatsu HASHIMOTO Noriyasu HIRATA,-1,145 - 108,"$124,585.59","42,431 / 15"
16,17,INA INA,Andrei ADISTIA Hendra Aprida GUNAWAN,-1,30 - 22,"$110,124.61","42,200 / 13"
17,18,MAS MAS,V Shem GOH Wee Kiong TAN,-1,31 - 18,"$125,690.59","41,458 / 11"
18,19,CHN CHN,LI Junhui LIU Yuchen,10,71 - 24,"$61,917.50","41,070 / 10"
19,20,JPN JPN,Takeshi KAMURA Keigo SONODA,2,79 - 46,"$56,210.23","40,570 / 14"
20,21,TPE TPE,CHEN Hung Ling Chi-Lin WANG,-3,27 - 16,"$56,055.73","40,060 / 16"
21,22,POL POL,Adam CWALINA Przemyslaw WACHA,-2,120 - 40,"$58,153.85","39,416 / 21"
22,23,INA INA,Wahyu Nayaka ARYA PANKARYANIRA Ade YUSUF,-2,55 - 36,"$30,034.98","39,280 / 14"
23,24,IND IND,Manu ATTRI B. Sumeeth Reddy,2,41 - 37,"$16,420.60","39,170 / 16"
24,25,CHN CHN,CAI Yun LU Kai,-2,21 - 13,"$347,816.88","37,440 / 10"
25,26,GER GER,Max SCHWENGER Josche ZURWONNE,-2,26 - 14,"$17,509.48","37,231 / 15"
26,27,SIN SIN,Danny Bawa CHRISNANTA Chayut TRIYACHART,-2,84 - 64,"$44,263.08","36,787 / 13"
